,Accuracy,Precision,Recall,AUC,AP
LR,0.8830633499999999,0.7533778749999999,0.757149425,0.9120790749999996,0.7732151
SVM,0.8489049,0.79646145,0.49260465,0.896001725,0.7474802000000002
k-NN,0.8747086750000002,0.8236409250000001,0.6011410000000001,0.8862598250000001,0.7038219750000001
GBDT,0.9233391750000001,0.8458094249999999,0.8296213000000001,0.9707322749999999,0.9105619
AB,0.896535025,0.8066785500000002,0.7430850500000001,0.9411899250000003,0.8137437500000001
RF,0.9218226750000003,0.8521276499999997,0.8133722000000002,0.9633232250000001,0.8856328250000001
